TONI KROOS
STEFAN DE VRIJ
MARCOS ROJO
EZEQUIEL GARAY
DAVID LUIZ
KEYLOR NAVAS
BRUNO MARTINS INDI
JOHAN DJOUROU
DALEY BLIND
CLAUDIO BRAVO
MATHIEU VALBUENA
GIANCARLO GONZALEZ
FEDERICO FERNANDEZ
KONSTANTINOS MANOLAS
DAVID OSPINA
CRISTIAN GAMBOA
PAULINHO
ALEXIS SANCHEZ
CARLOS SANCHEZ
ENNER VALENCIA
ADMIR MEHMEDI
ORIBE PERALTA
MAURICIO ISLA
ANTOINE GRIEZMANN
MATHIEU DEBUCHY
VALON BEHRAMI
IVAN RAKITIC
MUHAMED BESIC
DARYL JANMAAT
RAFAEL MARQUEZ
LUIS SUAREZ
ROMELU LUKAKU
MATHEW LECKIE
DIVOCK ORIGI
LAZAROS CHRISTODOULOPOULOS
MARIO BALOTELLI
YACINE BRAHIMI
ANDREAS SAMARIS
JOSIP DRMIC
SALOMON KALOU
ASHKAN DEJAGAH
MARIO MANDZUKIC
XABI ALONSO
DEJAN LOVREN
HARIS SEFEROVIC
SHKODRAN MUSTAFI
JONATHAN DE GUZMAN
GARY MEDEL
SHINJI KAGAWA
MAKSIM KANUNNIKOV
DIEGO COSTA
KONSTANTINOS MITROGLOU
JEFFERSON MONTERO
LUKE SHAW
PANAGIOTIS KONE
ERMIN BICAKCIC
ADRIAN RAMOS
JORDAN AYEW
LEROY FER
DANNY WELBECK
VINCENT ABOUBAKAR
SIME VRSALJKO
YUYA OSAKO
PEPE REINA
ADAM LALLANA
JULIAN GREEN
THOMAS VERMAELEN
YOICHIRO KAKITANI
BLERIM DZEMAILI
IVAN FRANJIC
MARCO PAROLO
CIRO IMMOBILE
ANTE REBIC
VALENTIN STOCKER
ABEL HERNANDEZ
MAURICIO PINILLA
ADAM TAGGART
ALESSIO CERCI
STEVEN DEFOUR
SAPHIR TAIDER
DANY NOUNKEU
GELSON FERNANDES
RICKIE LAMBERT
DEANDRE YEDLIN
HIROSHI KIYOTAKE
MICHEL VORM
